Car_id,Date,Customer Name,Gender,Annual Income,Company,Color,Price ($),Body Style
C_CND_000001,1/2/2022,Geraldine,Male,13500,Ford,Black,26000,SUV
C_CND_000002,1/2/2022,Gia,Male,1480000,Dodge,Black,19000,SUV
C_CND_000003,1/2/2022,Gianna,Male,1035000,Cadillac,Red,31500,Passenger
C_CND_000004,1/2/2022,Giselle,Male,13500,Toyota,Pale White,14000,SUV
C_CND_000005,1/2/2022,Grace,Male,1465000,Acura,Red,24500,Hatchback
C_CND_000006,1/2/2022,Guadalupe,Male,850000,Mitsubishi,Pale White,12000,Hatchback
C_CND_000007,1/2/2022,Hailey,Male,1600000,Toyota,Pale White,14000,Passenger
C_CND_000008,1/2/2022,Graham,Male,13500,Mitsubishi,Pale White,42000,Passenger
C_CND_000009,1/2/2022,Naomi,Male,815000,Chevrolet,Pale White,82000,Hardtop
C_CND_000010,1/2/2022,Grayson,Female,13500,Ford,Pale White,15000,Passenger
C_CND_000011,1/2/2022,Gregory,Male,13500,Acura,Pale White,31000,SUV
C_CND_000012,1/2/2022,Amar'E,Male,13500,Nissan,Pale White,46000,Hardtop
C_CND_000013,1/2/2022,Griffin,Male,885000,Mercury,Black,9000,SUV
C_CND_000014,1/2/2022,Harrison,Male,13500,BMW,Pale White,15000,Hatchback
C_CND_000015,1/2/2022,Zainab,Male,722000,Chrysler,Pale White,26000,Sedan
C_CND_000016,1/2/2022,Zara,Male,746000,Subaru,Pale White,17000,Hatchback
C_CND_000017,1/2/2022,Zoe,Female,535000,Hyundai,Black,18000,Hatchback
C_CND_000018,1/2/2022,Zoey,Female,570000,Cadillac,Pale White,31000,Passenger
C_CND_000019,1/2/2022,Aaliyah,Male,685000,Toyota,Pale White,33000,SUV
C_CND_000020,1/2/2022,Abigail,Male,455000,Honda,Pale White,21000,Sedan
C_CND_000021,1/2/2022,Adrianna,Male,13500,Toyota,Black,25000,Sedan
C_CND_000022,1/2/2022,Joshua,Male,2500000,Infiniti,Black,21000,Hardtop
C_CND_000023,1/2/2022,Marcus,Male,585000,Audi,Pale White,12000,Hardtop
C_CND_000024,1/2/2022,Arthur,Male,920000,Porsche,Pale White,18000,Passenger
C_CND_000025,1/2/2022,Lizzie,Male,672000,Volkswagen,Pale White,22000,Passenger
C_CND_000026,1/2/2022,Florian,Male,801250,Dodge,Pale White,31250,SUV
C_CND_000027,1/2/2022,Cassandre,Female,820000,Buick,Black,19000,Passenger
C_CND_000028,1/2/2022,Syrielle,Male,791000,Chrysler,Pale White,41000,Hatchback
C_CND_000029,1/2/2022,Sloane,Male,13500,Chrysler,Pale White,41000,Hatchback
C_CND_000030,1/2/2022,Sofia,Male,1020000,Saturn,Pale White,13000,Hatchback
C_CND_000031,1/2/2022,Sophia,Male,210000,Mitsubishi,Pale White,20000,Sedan
C_CND_000032,1/2/2022,Sophie,Male,750000,Mercedes-B,Pale White,14000,Hatchback
C_CND_000033,1/2/2022,Stella,Male,635000,Honda,Pale White,19000,Sedan
C_CND_000034,1/2/2022,Suri,Male,675000,Honda,Black,43000,Hatchback
C_CND_000035,1/2/2022,Sury,Male,880000,Jaguar,Black,16000,Passenger
C_CND_000036,1/3/2022,Haley,Male,13500,Volvo,Pale White,42000,Sedan
C_CND_000037,1/3/2022,Hannah,Male,13500,Mercury,Pale White,21000,SUV
C_CND_000038,1/3/2022,Haylee,Male,13500,Buick,Black,61000,Hatchback
C_CND_000039,1/3/2022,Hayley,Male,941000,Mitsubishi,Pale White,39000,SUV
C_CND_000040,1/3/2022,Harry,Female,13500,Nissan,Black,16000,Passenger
C_CND_000041,1/3/2022,Henry,Male,13500,Chrysler,Pale White,26000,Sedan
C_CND_000042,1/3/2022,Hersh,Female,13500,Volvo,Pale White,21000,Sedan
C_CND_000043,1/3/2022,Hershel,Male,967500,Chevrolet,Black,42500,Passenger
C_CND_000044,1/3/2022,Aicha,Male,600000,Mitsubishi,Black,45001,Hatchback
C_CND_000045,1/3/2022,Aisha,Male,575000,Pontiac,Black,36001,Hatchback
C_CND_000046,1/3/2022,Aissatou,Male,566000,Mercedes-B,Pale White,12000,Hatchback
C_CND_000047,1/3/2022,Alana,Male,1250000,BMW,Pale White,21001,Hatchback
C_CND_000048,1/3/2022,Chloe,Male,730000,Acura,Pale White,29000,Hatchback
C_CND_000049,1/3/2022,Valentine,Male,4060000,Nissan,Pale White,20000,Hatchback
C_CND_000050,1/3/2022,Aurore,Male,13500,Cadillac,Pale White,22000,SUV
C_CND_000051,1/3/2022,Nikita,Male,1180000,Dodge,Pale White,31000,Hatchback
C_CND_000052,1/3/2022,Justine,Male,1360000,Audi,Black,27000,Hardtop
C_CND_000053,1/3/2022,Sylvia,Female,640000,Mercury,Black,33000,Hatchback
C_CND_000054,1/3/2022,Chloe,Male,615000,Chevrolet,Pale White,14000,Hardtop
C_CND_000055,1/3/2022,Tamar,Male,520000,Acura,Pale White,17000,SUV
C_CND_000056,1/4/2022,Hazel,Male,1876000,Saturn,Pale White,25600,Passenger
C_CND_000057,1/4/2022,Heaven,Male,13500,Volvo,Black,17000,Hatchback
C_CND_000058,1/4/2022,Heidi,Male,13500,Mercury,Pale White,21000,SUV
C_CND_000059,1/4/2022,Hershy,Male,890000,Mercedes-B,Pale White,12000,Hatchback
C_CND_000060,1/4/2022,Hudson,Male,1800000,Mercedes-B,Pale White,17000,Passenger
C_CND_000061,1/4/2022,Amare,Male,1330000,Toyota,Black,36000,Hardtop
C_CND_000062,1/4/2022,Alexandria,Male,393000,Mercedes-B,Pale White,17000,Hatchback
C_CND_000063,1/4/2022,Alexis,Male,440000,Mercedes-B,Pale White,41000,Hatchback
C_CND_000064,1/4/2022,Alyssa,Female,280000,Audi,Black,14000,SUV
C_CND_000065,1/4/2022,Coline,Male,1151000,Dodge,Pale White,31100,Sedan
C_CND_000066,1/4/2022,Annaelle,Male,1650000,Buick,Black,61000,Hatchback
C_CND_000067,1/4/2022,Anais,Male,13500,Dodge,Black,26000,SUV
C_CND_000068,1/4/2022,Taylor,Male,895000,Toyota,Black,12000,Passenger
C_CND_000069,1/4/2022,Tessa,Female,660000,Volvo,Pale White,42000,Sedan
C_CND_000070,1/4/2022,Toby,Male,13500,Mitsubishi,Pale White,21000,Hatchback
C_CND_000071,1/5/2022,Heidy,Male,1636000,Cadillac,Pale White,22600,SUV
